,Protein Name,Protein Id,Antibody Id,Reliability Verification,Tissue,Organ,Staining Level,Intensity Level,Quantity,SnomedParameters,URL,IF Verification,locations,IF Organ,cytoplasm,cytoskeleton,endoplasmic reticulum,golgi apparatus,lysosomes,mitochondria,nucleoli,nucleus,plasma membrane,vesicles,Pair Idx
8113,RBM5,ENSG00000003756,HPA017335,approved,Hippocampus,Brain,medium;high,moderate;strong,75%-25%;>75%,"Normal tissue, NOS;Hippocampus",ENSG00000003756/Brain/Hippocampus/HPA017335/40749_B_7_6.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3151
8156,RBM5,ENSG00000003756,HPA017335,approved,Skin 2,Skin,high,strong,>75%,"Normal tissue, NOS;Vulva",ENSG00000003756/Skin/Skin 2/HPA017335/40749_B_5_8.jpg,enhanced,nucleoplasm,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3168
8157,RBM5,ENSG00000003756,HPA017335,approved,Skin 2,Skin,high,strong,>75%,"Normal tissue, NOS;Adipose tissue;Vascular tissue;Anal;Peripheral nerve tissue",ENSG00000003756/Skin/Skin 2/HPA017335/40749_B_4_8.jpg,enhanced,nucleoplasm,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3168
8190,RBM5,ENSG00000003756,HPA018011,approved,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Squamous cell carcinoma, NOS;Oral tissue;Head-Neck",ENSG00000003756/Connective & soft tissue/Adipose tissue/HPA018011/40757_B_3_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3181
8191,RBM5,ENSG00000003756,HPA018011,approved,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Breast;Soft tissue",ENSG00000003756/Connective & soft tissue/Adipose tissue/HPA018011/40757_B_1_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3181
8192,RBM5,ENSG00000003756,HPA018011,approved,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Soft tissue",ENSG00000003756/Connective & soft tissue/Adipose tissue/HPA018011/40757_B_2_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3181
8193,RBM5,ENSG00000003756,HPA018011,approved,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Squamous cell carcinoma, NOS;Skin;Peripheral nerve tissue",ENSG00000003756/Connective & soft tissue/Adipose tissue/HPA018011/40757_B_3_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3181
8194,RBM5,ENSG00000003756,HPA018011,approved,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Soft tissue;Vascular tissue",ENSG00000003756/Connective & soft tissue/Adipose tissue/HPA018011/40757_B_2_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3181
8195,RBM5,ENSG00000003756,HPA018011,approved,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Cartilage tissue;Bronchus",ENSG00000003756/Connective & soft tissue/Adipose tissue/HPA018011/40757_B_1_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3181
8207,RBM5,ENSG00000003756,HPA018011,approved,Caudate,Brain,medium;high,moderate;strong,75%-25%;>75%,"Normal tissue, NOS;Lateral ventricle wall",ENSG00000003756/Brain/Caudate/HPA018011/40757_B_9_7.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3187
8208,RBM5,ENSG00000003756,HPA018011,approved,Caudate,Brain,medium;high,moderate;strong,75%-25%;>75%,"Normal tissue, NOS;Lateral ventricle wall",ENSG00000003756/Brain/Caudate/HPA018011/40757_B_8_7.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3187
8209,RBM5,ENSG00000003756,HPA018011,approved,Caudate,Brain,medium;high,moderate;strong,75%-25%;>75%,"Normal tissue, NOS;Lateral ventricle wall",ENSG00000003756/Brain/Caudate/HPA018011/40757_B_7_7.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3187
8210,RBM5,ENSG00000003756,HPA018011,approved,Cerebellum,Brain,high;high;high,strong;strong;strong,>75%;>75%;>75%,"Normal tissue, NOS;Cerebellum",ENSG00000003756/Brain/Cerebellum/HPA018011/40757_B_7_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3188
8211,RBM5,ENSG00000003756,HPA018011,approved,Cerebellum,Brain,high;high;high,strong;strong;strong,>75%;>75%;>75%,"Normal tissue, NOS;Cerebellum",ENSG00000003756/Brain/Cerebellum/HPA018011/40757_B_9_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3188
8212,RBM5,ENSG00000003756,HPA018011,approved,Cerebellum,Brain,high;high;high,strong;strong;strong,>75%;>75%;>75%,"Normal tissue, NOS;Cerebellum",ENSG00000003756/Brain/Cerebellum/HPA018011/40757_B_8_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3188
8213,RBM5,ENSG00000003756,HPA018011,approved,Cerebral cortex,Brain,medium;high;high;low,moderate;strong;strong;weak,>75%;>75%;>75%;>75%,"Normal tissue, NOS;Cerebral cortex",ENSG00000003756/Brain/Cerebral cortex/HPA018011/40757_B_7_5.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3189
8214,RBM5,ENSG00000003756,HPA018011,approved,Cerebral cortex,Brain,medium;high;high;low,moderate;strong;strong;weak,>75%;>75%;>75%;>75%,"Normal tissue, NOS;Cerebral cortex",ENSG00000003756/Brain/Cerebral cortex/HPA018011/40757_B_9_5.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3189
8241,RBM5,ENSG00000003756,HPA018011,approved,Hippocampus,Brain,high;high,strong;strong,75%-25%;>75%,"Normal tissue, NOS;Hippocampus",ENSG00000003756/Brain/Hippocampus/HPA018011/40757_B_9_6.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3200
8242,RBM5,ENSG00000003756,HPA018011,approved,Hippocampus,Brain,high;high,strong;strong,75%-25%;>75%,"Normal tissue, NOS;Hippocampus",ENSG00000003756/Brain/Hippocampus/HPA018011/40757_B_8_6.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3200
8243,RBM5,ENSG00000003756,HPA018011,approved,Hippocampus,Brain,high;high,strong;strong,75%-25%;>75%,"Normal tissue, NOS;Hippocampus",ENSG00000003756/Brain/Hippocampus/HPA018011/40757_B_7_6.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3200
8285,RBM5,ENSG00000003756,HPA018011,approved,Skin 1,Skin,high;high;high;high,strong;strong;strong;strong,>75%;>75%;>75%;>75%,"Normal tissue, NOS;Skin",ENSG00000003756/Skin/Skin 1/HPA018011/40757_B_9_1.jpg,enhanced,nucleoplasm,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3216
8286,RBM5,ENSG00000003756,HPA018011,approved,Skin 1,Skin,high;high;high;high,strong;strong;strong;strong,>75%;>75%;>75%;>75%,"Normal tissue, NOS;Skin",ENSG00000003756/Skin/Skin 1/HPA018011/40757_B_7_1.jpg,enhanced,nucleoplasm,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3216
8287,RBM5,ENSG00000003756,HPA018011,approved,Skin 2,Skin,high,strong,>75%,"Normal tissue, NOS;Vulva",ENSG00000003756/Skin/Skin 2/HPA018011/40757_B_5_8.jpg,enhanced,nucleoplasm,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3217
8288,RBM5,ENSG00000003756,HPA018011,approved,Skin 2,Skin,high,strong,>75%,"Normal tissue, NOS;Adipose tissue;Vascular tissue;Anal;Peripheral nerve tissue",ENSG00000003756/Skin/Skin 2/HPA018011/40757_B_4_8.jpg,enhanced,nucleoplasm,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3217
8293,RBM5,ENSG00000003756,HPA018011,approved,Soft tissue 1,Connective & soft tissue,high,strong,>75%,"Squamous cell carcinoma, NOS;Oral tissue;Head-Neck",ENSG00000003756/Connective & soft tissue/Soft tissue 1/HPA018011/40757_B_3_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3220
8294,RBM5,ENSG00000003756,HPA018011,approved,Soft tissue 1,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Soft tissue",ENSG00000003756/Connective & soft tissue/Soft tissue 1/HPA018011/40757_B_2_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3220
8295,RBM5,ENSG00000003756,HPA018011,approved,Soft tissue 1,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Cartilage tissue;Bronchus",ENSG00000003756/Connective & soft tissue/Soft tissue 1/HPA018011/40757_B_1_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3220
8296,RBM5,ENSG00000003756,HPA018011,approved,Soft tissue 2,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Breast;Soft tissue",ENSG00000003756/Connective & soft tissue/Soft tissue 2/HPA018011/40757_B_1_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3221
8297,RBM5,ENSG00000003756,HPA018011,approved,Soft tissue 2,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Squamous cell carcinoma, NOS;Skin;Peripheral nerve tissue",ENSG00000003756/Connective & soft tissue/Soft tissue 2/HPA018011/40757_B_3_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3221
8298,RBM5,ENSG00000003756,HPA018011,approved,Soft tissue 2,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Soft tissue;Vascular tissue",ENSG00000003756/Connective & soft tissue/Soft tissue 2/HPA018011/40757_B_2_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3221
9630,FKBP4,ENSG00000004478,HPA062857,supported,Breast,Female tissues,not detected;high;not detected,negative;strong;negative,none;>75%;none,"Normal tissue, NOS;Breast",ENSG00000004478/Female tissues/Breast/HPA062857/168946_B_2_4.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3717
9631,FKBP4,ENSG00000004478,HPA062857,supported,Breast,Female tissues,not detected;high;not detected,negative;strong;negative,none;>75%;none,"Normal tissue, NOS;Lobular carcinoma, in situ;Breast",ENSG00000004478/Female tissues/Breast/HPA062857/168946_B_1_4.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3717
9632,FKBP4,ENSG00000004478,HPA062857,supported,Breast,Female tissues,not detected;high;not detected,negative;strong;negative,none;>75%;none,"Normal tissue, NOS;Breast",ENSG00000004478/Female tissues/Breast/HPA062857/168946_B_3_4.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3717
9641,FKBP4,ENSG00000004478,HPA062857,supported,Cervix,Female tissues,high;high,strong;strong,75%-25%;>75%,"Normal tissue, NOS;Cervix",ENSG00000004478/Female tissues/Cervix/HPA062857/168946_B_7_3.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3722
9642,FKBP4,ENSG00000004478,HPA062857,supported,Cervix,Female tissues,high;high,strong;strong,75%-25%;>75%,"Normal tissue, NOS;Cervix",ENSG00000004478/Female tissues/Cervix/HPA062857/168946_B_9_3.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3722
9649,FKBP4,ENSG00000004478,HPA062857,supported,Endometrium 1,Female tissues,high;high,strong;strong,>75%;>75%,"Normal tissue, NOS;Endometrium",ENSG00000004478/Female tissues/Endometrium 1/HPA062857/168946_B_6_3.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3725
9650,FKBP4,ENSG00000004478,HPA062857,supported,Endometrium 1,Female tissues,high;high,strong;strong,>75%;>75%,"Normal tissue, NOS;Endometrium",ENSG00000004478/Female tissues/Endometrium 1/HPA062857/168946_B_4_3.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3725
9651,FKBP4,ENSG00000004478,HPA062857,supported,Endometrium 1,Female tissues,high;high,strong;strong,>75%;>75%,"Normal tissue, NOS;Endometrium",ENSG00000004478/Female tissues/Endometrium 1/HPA062857/168946_B_5_3.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3725
9652,FKBP4,ENSG00000004478,HPA062857,supported,Endometrium 2,Female tissues,high;high,strong;strong,75%-25%;>75%,"Normal tissue, NOS;Endometrium",ENSG00000004478/Female tissues/Endometrium 2/HPA062857/168946_B_1_3.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3726
9653,FKBP4,ENSG00000004478,HPA062857,supported,Endometrium 2,Female tissues,high;high,strong;strong,75%-25%;>75%,"Normal tissue, NOS;Endometrium",ENSG00000004478/Female tissues/Endometrium 2/HPA062857/168946_B_3_3.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3726
9654,FKBP4,ENSG00000004478,HPA062857,supported,Endometrium 2,Female tissues,high;high,strong;strong,75%-25%;>75%,"Normal tissue, NOS;Cervix;Endometrium",ENSG00000004478/Female tissues/Endometrium 2/HPA062857/168946_B_2_3.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3726
9660,FKBP4,ENSG00000004478,HPA062857,supported,Fallopian tube,Female tissues,high,strong,>75%,"Normal tissue, NOS;Fallopian tube",ENSG00000004478/Female tissues/Fallopian tube/HPA062857/168946_A_7_7.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3729
9661,FKBP4,ENSG00000004478,HPA062857,supported,Fallopian tube,Female tissues,high,strong,>75%,"Normal tissue, NOS;Fallopian tube;Ovary",ENSG00000004478/Female tissues/Fallopian tube/HPA062857/168946_A_8_7.jpg,enhanced,nucleoplasm;cytosol,Female reproductive system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-3729
11980,CDC27,ENSG00000004897,HPA028129,supported,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Cartilage tissue",ENSG00000004897/Connective & soft tissue/Adipose tissue/HPA028129/59918_B_2_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4607
11981,CDC27,ENSG00000004897,HPA028129,supported,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Adenocarcinoma, NOS;Smooth muscle;Colon",ENSG00000004897/Connective & soft tissue/Adipose tissue/HPA028129/59918_B_1_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4607
11982,CDC27,ENSG00000004897,HPA028129,supported,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Breast",ENSG00000004897/Connective & soft tissue/Adipose tissue/HPA028129/59918_B_3_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4607
11983,CDC27,ENSG00000004897,HPA028129,supported,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Bronchus",ENSG00000004897/Connective & soft tissue/Adipose tissue/HPA028129/59918_B_3_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4607
11984,CDC27,ENSG00000004897,HPA028129,supported,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Adenocarcinoma, NOS;Duodenum;Peripheral nerve tissue",ENSG00000004897/Connective & soft tissue/Adipose tissue/HPA028129/59918_B_2_7.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4607
11985,CDC27,ENSG00000004897,HPA028129,supported,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Adipose tissue;Vascular tissue;Peripheral nerve tissue",ENSG00000004897/Connective & soft tissue/Adipose tissue/HPA028129/59918_B_1_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4607
12000,CDC27,ENSG00000004897,HPA028129,supported,Cerebellum,Brain,low;medium;high,weak;moderate;strong,>75%;75%-25%;75%-25%,"Normal tissue, NOS;Cerebellum",ENSG00000004897/Brain/Cerebellum/HPA028129/59918_B_7_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4614
12001,CDC27,ENSG00000004897,HPA028129,supported,Cerebellum,Brain,low;medium;high,weak;moderate;strong,>75%;75%-25%;75%-25%,"Normal tissue, NOS;Cerebellum",ENSG00000004897/Brain/Cerebellum/HPA028129/59918_B_9_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4614
12002,CDC27,ENSG00000004897,HPA028129,supported,Cerebellum,Brain,low;medium;high,weak;moderate;strong,>75%;75%-25%;75%-25%,"Normal tissue, NOS;Cerebellum",ENSG00000004897/Brain/Cerebellum/HPA028129/59918_B_8_8.jpg,enhanced,nucleoplasm,Brain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4614
12079,CDC27,ENSG00000004897,HPA028129,supported,Skin 1,Skin,high;medium;medium;medium,strong;moderate;moderate;moderate,>75%;>75%;>75%;>75%,"Normal tissue, NOS;Skin",ENSG00000004897/Skin/Skin 1/HPA028129/59918_B_9_1.jpg,enhanced,nucleoplasm,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4642
12080,CDC27,ENSG00000004897,HPA028129,supported,Skin 1,Skin,high;medium;medium;medium,strong;moderate;moderate;moderate,>75%;>75%;>75%;>75%,"Normal tissue, NOS;Squamous cell carcinoma, NOS;Skin;Peripheral nerve tissue",ENSG00000004897/Skin/Skin 1/HPA028129/59918_B_7_1.jpg,enhanced,nucleoplasm,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4642
12089,CDC27,ENSG00000004897,HPA028129,supported,Soft tissue 1,Connective & soft tissue,high;high,strong;strong,>75%;>75%,"Normal tissue, NOS;Cartilage tissue",ENSG00000004897/Connective & soft tissue/Soft tissue 1/HPA028129/59918_B_2_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4646
12090,CDC27,ENSG00000004897,HPA028129,supported,Soft tissue 1,Connective & soft tissue,high;high,strong;strong,>75%;>75%,"Normal tissue, NOS;Breast",ENSG00000004897/Connective & soft tissue/Soft tissue 1/HPA028129/59918_B_3_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4646
12091,CDC27,ENSG00000004897,HPA028129,supported,Soft tissue 1,Connective & soft tissue,high;high,strong;strong,>75%;>75%,"Normal tissue, NOS;Adipose tissue;Vascular tissue;Peripheral nerve tissue",ENSG00000004897/Connective & soft tissue/Soft tissue 1/HPA028129/59918_B_1_8.jpg,enhanced,nucleoplasm,Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N-4646
14618,RPAP3,ENSG00000005175,HPA038311,enhanced,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Gallbladder;Peripheral nerve tissue",ENSG00000005175/Connective & soft tissue/Adipose tissue/HPA038311/79942_B_2_7.jpg,enhanced,cytosol,Mesenchymal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N-5608
14619,RPAP3,ENSG00000005175,HPA038311,enhanced,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Skeletal muscle;Peripheral nerve tissue",ENSG00000005175/Connective & soft tissue/Adipose tissue/HPA038311/79942_B_2_8.jpg,enhanced,cytosol,Mesenchymal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N-5608
14620,RPAP3,ENSG00000005175,HPA038311,enhanced,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Breast",ENSG00000005175/Connective & soft tissue/Adipose tissue/HPA038311/79942_B_3_7.jpg,enhanced,cytosol,Mesenchymal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N-5608
14621,RPAP3,ENSG00000005175,HPA038311,enhanced,Adipose tissue,Connective & soft tissue,high,strong,>75%,"Normal tissue, NOS;Adenocarcinoma, Low grade;Prostate;Peripheral nerve tissue",ENSG00000005175/Connective & soft tissue/Adipose tissue/HPA038311/79942_B_3_8.jpg,enhanced,cytosol,Mesenchymal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N-5608
